distance_A,E_vqe_Ha,E_exact_Ha,abs_error_Ha,energy_evals
0.5,-1.0551597944706075,-1.0551597944706221,1.4654943925052066e-14,28
0.6,-1.1162860068695117,-1.1162860068695382,2.6423307986078726e-14,20
0.7,-1.1361894540659003,-1.1361894540659208,2.042810365310288e-14,20
0.7999999999999999,-1.134147666677078,-1.1341476666770967,1.865174681370263e-14,24
0.8999999999999999,-1.1205602812999724,-1.1205602812999866,1.4210854715202004e-14,28
0.9999999999999999,-1.1011503302326078,-1.1011503302326167,8.881784197001252e-15,40
1.0999999999999999,-1.079192944969063,-1.0791929449690758,1.2878587085651816e-14,40
1.1999999999999997,-1.0567407463052445,-1.0567407463052518,7.327471962526033e-15,36
1.2999999999999998,-1.0351862664342435,-1.0351862664342564,1.2878587085651816e-14,24
1.4,-1.0154682492882297,-1.0154682492882452,1.554312234475219e-14,28
1.4999999999999998,-0.9981493534713922,-0.9981493534714098,1.7541523789077473e-14,24
1.5999999999999996,-0.9834727290331604,-0.9834727290331708,1.0436096431476471e-14,32
1.6999999999999997,-0.9714266884583258,-0.9714266884583391,1.3322676295501878e-14,28
1.7999999999999998,-0.9618169527925722,-0.9618169527925793,7.105427357601002e-15,28
1.8999999999999997,-0.9543388539987172,-0.9543388539987279,1.0658141036401503e-14,28
1.9999999999999996,-0.9486411121761721,-0.9486411121761883,1.6209256159527285e-14,24
2.0999999999999996,-0.9443746811197308,-0.9443746811197425,1.176836406102666e-14,28
2.1999999999999997,-0.9412240336932525,-0.9412240336932642,1.176836406102666e-14,24
2.3,-0.9389223859872655,-0.9389223859872755,9.992007221626409e-15,32
2.3999999999999995,-0.9372549530096155,-0.9372549530096259,1.0436096431476471e-14,20
2.4999999999999996,-0.9360549199555962,-0.9360549199556073,1.1102230246251565e-14,20
